full_name,nickname,longitude,latitude,
Nyumburu Cultural Center,NCC,-76.9438057866404,38.9881339,
Oakland Hall (Residence Hall),,-76.9492226797435,38.9938547,
Paint Branch Drive Visitors Lot,,-76.9376652129763,38.99197045,
Parking Lot 11b,,-76.9362203954441,38.9937827,
Parking Lot 11c,,-76.93793265456,38.99389735,
Parking Lot 11h,,-76.9353551969982,38.98254495,
Parking Lot 15,,-76.9357555594133,38.9810048,
Parking Lot 16a,,-76.93612975,38.98352975,
Parking Lot 16b,,-76.9364642095338,38.9830317,
Parking Lot 16c,,-76.9319854884635,38.98323445,
Parking Lot 16d,,-76.9323682,38.98234055,
Parking Lot 16e,,-76.933294157523,38.982799,
Parking lot 16f,,-76.9339050233523,38.9831728,
Parking Lot 16h,,-76.9315366103807,38.98314145,
Parking Lot 19,,-76.945045171131,38.98196015,
Parking Lot 1b,,-76.9494408398075,38.9870827,
Parking Lot 1d,,-76.9506524287848,38.9861006,
Parking Lot 2a,,-76.9481586165606,38.99420335,
Parking Lot 2b,,-76.9505459201508,38.9931883,
Parking Lot 2c,,-76.9477756507565,38.99230265,
Parking Lot 2d,,-76.9455376145164,38.99238785,
Parking Lot 2f,,-76.9414993575919,38.99257355,
Parking Lot 2g,,-76.9472887836851,38.99440375,
Parking Lot 4b,,-76.9411816982757,38.9970546,
Parking Lot 4j,,-76.939228467483,38.99721475,
Parking Lot 4n,,-76.9432485836194,38.9975986,
Parking Lot 5,,-76.9409605,38.9897447,
Parking Lot 6,,-76.9441223999729,38.9948837,
Parking Lot 9b,,-76.9379480992313,38.99443435,
Parking Lot 9c,,-76.9392026889215,38.994263,
Parking Lot A,,-76.9445554411228,38.98430415,
Parking Lot A*1,,-76.94812275,38.9862722,
Parking Lot B,,-76.9409603,38.98961455,
Parking Lot BB,,-76.9437432752211,38.98868945,
Parking Lot C1,,-76.9373082470676,38.98662605,
Parking Lot C2,,-76.9386466960901,38.98525575,
Parking Lot CC1,,-76.9395347604447,38.99236635,
Parking Lot CC2,,-76.940687,38.9916206,
Parking Lot D,,-76.94503695,38.98512635,
Parking Lot E,,-76.9371846,38.98927645,
Parking Lot E*1,,-76.93950635,38.98895295,
Parking Lot E*2,,-76.93874685,38.98936235,
Parking Lot EE,,-76.93777255,38.98956665,
Parking Lot F,,-76.9362193313411,38.98280315,
Parking Lot FF,,-76.9399114407625,38.99431135,
Parking Lot FF2,,-76.9392185247061,38.9931298,
Parking Lot G,,-76.9385438831386,38.9919303,
Parking Lot H1,,-76.9408901957625,38.98714445,
Parking Lot HH1,,-76.9437705364812,38.9871964,
Parking Lot HH2,,-76.9487217884698,38.99179395,
Parking Lot I*,,-76.9369211101377,38.99243845,
Parking Lot II1,,-76.93916665,38.9896806,
Parking Lot JJ1,,-76.9483331340347,38.98539355,
Parking Lot JJ2,,-76.9493049661468,38.9850641,
Parking Lot JJ3,,-76.9491042944466,38.98614505,
Parking Lot K*2,,-76.936078711566,38.98664725,
Parking Lot K*4,,-76.9348330271331,38.986413,
Parking Lot K*5,,-76.9349324800649,38.98521105,
Parking Lot K1,,-8564367.45346,4719533.97406,
Parking Lot K2,,-76.9346156087241,38.98554405,
Parking Lot K4,,-76.9429211998132,38.99640555,
Parking Lot K5,,-76.9363026926599,38.98296465,
Parking Lot K6,,-76.9548861803616,38.99083205,
Parking Lot KK,,-76.939126849749,38.99074565,
Parking Lot KK1,,-76.9390710660194,38.99103585,
Parking Lot L,,-76.9390440880309,38.985601,
Parking Lot L*,,-76.9395731763922,38.98602365,
Parking Lot ML*,,-76.9450454610869,38.9820502,
Parking Lot MM1,,-76.9442824224091,38.99208515,
Parking Lot MM2,,-76.9416584717757,38.9924268,
Parking Lot MM3,,-76.94307075,38.99134275,
Parking Lot N,,-76.9483259502209,38.992758,
Parking Lot N*,,-76.9496207605017,38.99315285,
Parking Lot N*1,,-76.9399408810552,38.982763,
Parking Lot N*2,,-76.9388435512149,38.98243265,
Parking Lot N*3,,-76.943423876098,38.9826911,
Parking Lot N3,,-76.9455457475625,38.9927533,
Parking Lot N4,,-76.94428505,38.9925133,
Parking Lot N5,,-76.9321558294979,38.9835147,
Parking Lot N7,,-76.9477738109564,38.9925869,
Parking Lot N9,,-76.946957493951,38.99306985,
Parking Lot O1,,-76.94791655,38.98399525,
Parking Lot O3,,-76.9483002446715,38.98442185,
Parking Lot O4,,-76.9462971999815,38.9843053,
Parking Lot O5,,-76.9477835,38.98355155,
Parking Lot P*,,-76.94270605,38.9981942,
Parking Lot P1,,-76.9431896439374,38.998125,
Parking Lot P2,,-76.9421021500106,38.99898715,
Parking Lot PP*,,-76.9403724850234,38.99385655,
Parking Lot PP1,,-76.9420853788895,38.9933824,
Parking Lot PP2,,-76.9406987273544,38.99385655,
Parking Lot Q,,-76.9438760840556,38.9911695,
Parking Lot Q1,,-76.9434800720619,38.9911726,
Parking Lot R*,,-76.9456938440546,38.9893944,
Parking Lot R3,,-76.9455308111322,38.9902248,
Parking Lot R4,,-76.95470385,38.99062525,
Parking Lot RR,,-76.9409602,38.98948445,
Parking Lot RR1,,-76.9344902879538,38.9869681,
Parking Lot RR2,,-76.9343316115429,38.9876128,
Parking Lot S3,,-76.9430233373487,38.9925145,
Parking Lot S4,,-76.943739453674,38.98246725,
Parking Lot S5,,-76.9494324090596,38.9933015,
Parking Lot S7,,-76.9477725756751,38.99283285,
Parking Lot S8,,-76.9467035382421,38.99288295,
Parking Lot SD*,,-76.9489187705445,38.9902444,
Parking Lot SS1,,-76.9441549116248,38.9937615,
Parking Lot SS2,,-76.9463360969161,38.99397245,
